Date|Change
May-99|0.0475
Jun-99|0.0475
Jul-99|0.0475
Aug-99|0.0475
Sep-99|0.0475
Oct-99|0.0475
Nov-99|0.0475
Dec-99|0.0475
Jan-00|0.0475
Feb-00|0.05
Mar-00|0.05
Apr-00|0.05
May-00|0.05
Jun-00|0.05
Jul-00|0.05
Aug-00|0.05
Sep-00|0.05
Oct-00|0.0525
Nov-00|0.0525
Dec-00|0.0525
01-Jan|0.0525
01-Feb|0.05
01-Mar|0.05
01-Apr|0.05
01-May|0.05
01-Jun|0.05
01-Jul|0.0475
01-Aug|0.045
01-Sep|0.04
01-Oct|0.04
01-Nov|0.04
01-Dec|0.04
02-Jan|0.04
02-Feb|0.04
02-Mar|0.04
02-Apr|0.04
02-May|0.0425
02-Jun|0.0425
02-Jul|0.0425
02-Aug|0.0425
02-Sep|0.0425
02-Oct|0.0425
02-Nov|0.0425
02-Dec|0.0425
03-Jan|0.0425
03-Feb|0.0425
03-Mar|0.0425
03-Apr|0.0425
03-May|0.04
03-Jun|0.04
03-Jul|0.0375
03-Aug|0.0375
03-Sep|0.0375
03-Oct|0.0375
03-Nov|0.0375
03-Dec|0.0375
04-Jan|0.0375
04-Feb|0.0375
04-Mar|0.0375
04-Apr|0.0375
04-May|0.0375
04-Jun|0.0375
04-Jul|0.0375
04-Aug|0.035
04-Sep|0.035
04-Oct|0.035
04-Nov|0.0325
04-Dec|0.0325
05-Jan|0.0325
05-Feb|0.0325
05-Mar|0.0325
05-Apr|0.0325
05-May|0.0325
05-Jun|0.0325
05-Jul|0.0325
05-Aug|0.0325
05-Sep|0.0325
05-Oct|0.035
05-Nov|0.035
05-Dec|0.0375
06-Jan|0.0375
06-Feb|0.04
06-Mar|0.04
06-Apr|0.04
06-May|0.04
06-Jun|0.0425
06-Jul|0.0425
06-Aug|0.045
06-Sep|0.045
06-Oct|0.045
06-Nov|0.045
06-Dec|0.045
07-Jan|0.045
07-Feb|0.045
07-Mar|0.045
07-Apr|0.045
07-May|0.045
07-Jun|0.045
07-Jul|0.0475
07-Aug|0.05
07-Sep|0.05
07-Oct|0.05
07-Nov|0.05
07-Dec|0.05
08-Jan|0.05
08-Feb|0.05
08-Mar|0.05
08-Apr|0.05
08-May|0.05
08-Jun|0.05
08-Jul|0.05
08-Aug|0.0525
08-Sep|0.0525
08-Oct|0.0425
08-Nov|0.04
08-Dec|0.03
09-Jan|0.025
09-Feb|0.02
09-Mar|0.02
09-Apr|0.02
09-May|0.02
09-Jun|0.02
09-Jul|0.02
09-Aug|0.02
09-Sep|0.02
09-Oct|0.02
09-Nov|0.02
09-Dec|0.02
10-Jan|0.02
10-Feb|0.02
10-Mar|0.02
10-Apr|0.02
10-May|0.02
10-Jun|0.02
10-Jul|0.0225
10-Aug|0.0225
10-Sep|0.0225
10-Oct|0.0225
10-Nov|0.025
10-Dec|0.025
11-Jan|0.03
11-Feb|0.03
11-Mar|0.03
11-Apr|0.03
11-May|0.0325
11-Jun|0.0325
11-Jul|0.035
11-Aug|0.0325
11-Sep|0.0325
11-Oct|0.0325
11-Nov|0.0325
11-Dec|0.0325
12-Jan|0.0325
12-Feb|0.0325
12-Mar|0.0325
12-Apr|0.0325
12-May|0.0325
12-Jun|0.0325
12-Jul|0.03
12-Aug|0.0275
12-Sep|0.0275
12-Oct|0.0275
12-Nov|0.0275
12-Dec|0.0275
13-Jan|0.0275
13-Feb|0.0275
13-Mar|0.025
13-Apr|0.0275
13-May|0.025
13-Jun|0.025
13-Jul|0.025
13-Aug|0.025
13-Sep|0.025
13-Oct|0.025
13-Nov|0.025
13-Dec|0.025
14-Jan|0.025
14-Feb|0.025
14-Mar|0.025
14-Apr|0.025
14-May|0.025
14-Jun|0.025
14-Jul|0.0225
14-Aug|0.0225
14-Sep|0.02
14-Oct|0.02
14-Nov|0.02
14-Dec|0.02
15-Jan|0.02
15-Feb|0.0175
15-Mar|0.0175
15-Apr|0.0175
15-May|0.015
15-Jun|0.015
15-Jul|0.015
15-Aug|0.015
15-Sep|0.015
15-Oct|0.015
15-Nov|0.015
15-Dec|0.015
16-Jan|0.015
16-Feb|0.015
16-Mar|0.015
16-Apr|0.015
16-May|0.0125
16-Jun|0.0125
16-Jul|0.0125
16-Aug|0.0125
16-Sep|0.0125
16-Oct|0.0125
16-Nov|0.0125
16-Dec|0.0125
17-Jan|0.0125
17-Mar|0.0125
17-Apr|0.0125
17-Jun|0.0125
17-Jul|0.0125
17-Sep|0.0125
17-Oct|0.015
17-Dec|0.015
18-Jan|0.015
18-Mar|0.015
18-Apr|0.015
18-Jun|0.015
18-Jul|0.015
18-Sep|0.015
18-Oct|0.0175
18-Dec|0.0175
19-Jan|0.0175
19-Mar|0.0175
19-Apr|0.0175
19-Jun|0.015
19-Jul|0.015
19-Sep|0.0125
19-Oct|0.0125
19-Dec|0.0125
20-Jan|0.0125
20-Feb|0.0075
20-Mar|0.0075
20-Apr|0.005
20-Jun|0.005
20-Jul|0.005
20-Sep|0.005
20-Oct|0.005
20-Dec|0.005
21-Jan|0.005
21-Mar|0.005
21-Apr|0.005
21-Jun|0.005
21-Jul|0.0075
21-Sep|0.0075
21-Oct|0.01
21-Dec|0.0125
22-Jan|0.0125
22-Mar|0.015
22-Apr|0.0175
22-Jun|0.0225
22-Jul|0.025
22-Sep|0.03
22-Oct|0.0325
22-Dec|0.035
23-Jan|0.035
23-Feb|0.035
